Gender,Age,City_Category,City_Tier,Total_Transactions,Total_Purchase_Amount,Avg_Purchase_Amount,Revenue_Share_Pct,Unique_Customers
M,26-35,B,Urban,70147,5703476.66,81.307492,12.81,468
M,26-35,A,Metro,56254,4571123.69,81.258643,10.27,338
M,26-35,C,Town,42434,3421383.40,80.628350,7.69,702
M,36-45,B,Urban,36488,2926655.82,80.208721,6.58,237
M,18-25,B,Urban,31561,2581312.16,81.788035,5.80,237
M,36-45,C,Town,26843,2146502.84,79.965087,4.82,474
M,18-25,C,Town,22205,1795575.11,80.863549,4.03,387
F,26-35,B,Urban,21437,1733339.90,80.857391,3.89,184
M,18-25,A,Metro,21266,1723861.97,81.061881,3.87,158
M,36-45,A,Metro,19512,1578483.44,80.898085,3.55,123
F,26-35,A,Metro,17491,1424439.28,81.438413,3.20,123
M,46-50,B,Urban,14002,1132068.26,80.850469,2.54,88
M,51-55,B,Urban,13498,1085696.82,80.433903,2.44,99
M,46-50,C,Town,12143,970628.17,79.933144,2.18,226
F,18-25,B,Urban,11686,954443.09,81.674062,2.14,94
F,26-35,C,Town,11824,948634.57,80.229581,2.13,238
F,36-45,B,Urban,11110,890743.49,80.174932,2.00,98
M,51-55,C,Town,10788,869592.96,80.607430,1.95,194
M,55+,C,Town,9401,757172.98,80.541749,1.70,191
F,36-45,C,Town,8955,723666.80,80.811480,1.63,182
F,36-45,A,Metro,7105,575130.32,80.947265,1.29,53
F,18-25,C,Town,6673,540896.19,81.057424,1.22,137
F,46-50,B,Urban,6404,524233.29,81.860289,1.18,58
M,46-50,A,Metro,6357,517208.88,81.360529,1.16,35
F,18-25,A,Metro,6269,504844.04,80.530234,1.13,56
F,46-50,C,Town,5545,439480.51,79.257080,0.99,106
M,0-17,C,Town,5052,406461.36,80.455534,0.91,97
M,51-55,A,Metro,4321,353820.55,81.883950,0.79,46
F,51-55,B,Urban,4243,344855.16,81.276257,0.77,36
M,0-17,B,Urban,3870,320182.02,82.734372,0.72,32
F,51-55,C,Town,3873,311012.94,80.302851,0.70,85
M,55+,B,Urban,3811,307932.44,80.800955,0.69,43
F,55+,C,Town,3368,273662.99,81.253857,0.61,74
M,55+,A,Metro,3209,263084.53,81.983337,0.59,39
F,0-17,C,Town,2071,169320.66,81.757924,0.38,46
F,51-55,A,Metro,1778,140153.85,78.826687,0.31,21
F,0-17,B,Urban,1565,128435.91,82.067674,0.29,18
F,0-17,A,Metro,1447,115742.00,79.987560,0.26,14
F,55+,B,Urban,1351,112178.66,83.033797,0.25,15
F,46-50,A,Metro,1250,99194.83,79.355864,0.22,18
M,0-17,A,Metro,1097,90925.37,82.885479,0.20,11
F,55+,A,Metro,364,30161.67,82.861731,0.07,10
