Product_Category,Occupation,Occupation_Bucket,Total_Transactions,Total_Sales,Total_Quantity,Avg_Transaction_Value
Appliances,0,Entry,196,14478.23,375,73.868520
Appliances,1,Entry,169,14091.25,334,83.380178
Appliances,4,Entry,180,12742.12,351,70.789556
Appliances,7,Skilled,160,12668.51,308,79.178188
Appliances,20,Executive,121,9757.02,245,80.636529
Appliances,16,Executive,79,6949.50,160,87.968354
Appliances,17,Executive,76,6469.24,160,85.121579
Appliances,6,Skilled,72,5926.53,137,82.312917
Appliances,2,Entry,81,5803.15,165,71.643827
Appliances,3,Entry,68,5608.06,148,82.471471
Appliances,12,Professional,72,5015.48,146,69.659444
Appliances,14,Professional,55,4003.30,116,72.787273
Appliances,13,Professional,27,2390.82,52,88.548889
Appliances,15,Executive,27,2246.31,62,83.196667
Appliances,10,Professional,29,2233.55,63,77.018966
Appliances,19,Executive,29,2201.69,59,75.920345
Appliances,9,Skilled,23,2076.61,47,90.287391
Appliances,11,Professional,30,2058.40,59,68.613333
Appliances,5,Skilled,23,1519.19,41,66.051739
Appliances,18,Executive,6,560.18,15,93.363333
"Arts, Crafts & Sewing",4,Entry,1192,93608.70,2384,78.530789
"Arts, Crafts & Sewing",0,Entry,1225,90769.63,2428,74.097657
"Arts, Crafts & Sewing",7,Skilled,1168,83928.15,2277,71.856293
"Arts, Crafts & Sewing",1,Entry,784,61181.17,1597,78.037207
"Arts, Crafts & Sewing",17,Executive,715,54501.17,1395,76.225413
"Arts, Crafts & Sewing",20,Executive,584,46715.57,1179,79.992414
"Arts, Crafts & Sewing",12,Professional,544,44368.92,1096,81.560515
"Arts, Crafts & Sewing",16,Executive,531,41520.86,1053,78.193710
"Arts, Crafts & Sewing",14,Professional,515,37982.86,1031,73.753126
"Arts, Crafts & Sewing",2,Entry,448,37230.07,932,83.102835
"Arts, Crafts & Sewing",6,Skilled,416,30271.65,815,72.768389
"Arts, Crafts & Sewing",3,Entry,342,26560.67,688,77.662778
"Arts, Crafts & Sewing",5,Skilled,213,16391.67,433,76.956197
"Arts, Crafts & Sewing",15,Executive,207,15633.95,419,75.526329
"Arts, Crafts & Sewing",10,Professional,200,15190.43,395,75.952150
"Arts, Crafts & Sewing",11,Professional,181,13731.39,385,75.864033
"Arts, Crafts & Sewing",19,Executive,145,12612.87,303,86.985310
"Arts, Crafts & Sewing",18,Executive,153,11458.93,295,74.894967
"Arts, Crafts & Sewing",13,Professional,136,9988.55,259,73.445221
"Arts, Crafts & Sewing",9,Skilled,113,7297.49,211,64.579558
"Arts, Crafts & Sewing",8,Skilled,16,1049.85,34,65.615625
Automotive,0,Entry,636,61445.19,1244,96.611934
Automotive,7,Skilled,525,50967.58,1074,97.081105
Automotive,1,Entry,515,48905.52,1051,94.962175
Automotive,4,Entry,474,48101.31,966,101.479557
Automotive,20,Executive,405,39443.88,844,97.392296
Automotive,17,Executive,352,35571.28,722,101.054773
Automotive,12,Professional,342,33481.88,656,97.900234
Automotive,2,Entry,283,26826.07,556,94.791767
Automotive,16,Executive,224,22912.11,467,102.286205
Automotive,14,Professional,235,22612.73,460,96.224383
Automotive,6,Skilled,189,19284.12,382,102.032381
Automotive,3,Entry,195,15929.71,381,81.690821
Automotive,11,Professional,161,14858.00,325,92.285714
Automotive,15,Executive,125,12115.05,248,96.920400
Automotive,13,Professional,129,10890.54,247,84.422791
Automotive,10,Professional,73,7806.66,153,106.940548
Automotive,5,Skilled,85,7502.20,158,88.261176
Automotive,19,Executive,71,6782.58,141,95.529296
Automotive,18,Executive,60,5440.16,117,90.669333
Automotive,9,Skilled,33,2939.33,66,89.070606
Automotive,8,Skilled,13,1399.16,24,107.627692
Baby,0,Entry,559,46686.48,1135,83.517853
Baby,4,Entry,449,36538.70,879,81.377951
Baby,20,Executive,379,33414.65,770,88.165303
Baby,1,Entry,374,31703.34,732,84.768289
Baby,7,Skilled,327,25738.68,634,78.711560
Baby,2,Entry,229,19778.22,451,86.367773
Baby,16,Executive,196,15633.69,381,79.763724
Baby,17,Executive,172,14809.84,345,86.103721
Baby,12,Professional,184,14417.28,360,78.354783
Baby,14,Professional,156,13520.70,321,86.671154
Baby,6,Skilled,146,12806.49,288,87.715685
Baby,3,Entry,137,11290.05,273,82.409124
Baby,15,Executive,85,7321.77,165,86.138471
Baby,11,Professional,84,7227.10,158,86.036905
Baby,19,Executive,62,4938.03,115,79.645645
Baby,10,Professional,42,3766.83,95,89.686429
Baby,13,Professional,49,3738.83,93,76.302653
Baby,18,Executive,34,3120.38,68,91.775882
Baby,5,Skilled,37,2821.58,71,76.258919
Baby,9,Skilled,15,1716.91,32,114.460667
Baby,8,Skilled,5,207.14,7,41.428000
"Books, Movies & Music",7,Skilled,461,43668.83,917,94.726312
"Books, Movies & Music",0,Entry,426,41280.26,875,96.902019
"Books, Movies & Music",4,Entry,268,27739.50,555,103.505597
"Books, Movies & Music",1,Entry,238,23014.91,470,96.701303
"Books, Movies & Music",17,Executive,231,21614.26,451,93.568225
"Books, Movies & Music",20,Executive,180,16911.06,362,93.950333
"Books, Movies & Music",16,Executive,176,16786.39,353,95.377216
"Books, Movies & Music",12,Professional,133,14581.58,279,109.635940
"Books, Movies & Music",2,Entry,151,14547.66,307,96.342119
"Books, Movies & Music",14,Professional,152,13924.78,296,91.610395
"Books, Movies & Music",11,Professional,106,10442.09,226,98.510283
"Books, Movies & Music",5,Skilled,95,9591.81,197,100.966421
"Books, Movies & Music",6,Skilled,91,9271.92,185,101.889231
"Books, Movies & Music",3,Entry,101,9118.02,195,90.277426
"Books, Movies & Music",15,Executive,89,8478.18,166,95.260449
"Books, Movies & Music",13,Professional,69,5790.20,142,83.915942
"Books, Movies & Music",18,Executive,53,5389.70,109,101.692453
"Books, Movies & Music",19,Executive,49,4785.97,100,97.672857
"Books, Movies & Music",9,Skilled,23,2443.91,46,106.256957
"Books, Movies & Music",10,Professional,26,2019.64,49,77.678462
"Books, Movies & Music",8,Skilled,7,482.02,14,68.860000
Clothing,4,Entry,1703,128830.66,3421,75.649243
Clothing,0,Entry,1481,108026.78,2915,72.941783
Clothing,7,Skilled,1099,79451.55,2199,72.294404
Clothing,1,Entry,973,70509.95,1917,72.466547
Clothing,17,Executive,812,62103.73,1625,76.482426
Clothing,20,Executive,706,51483.12,1410,72.922266
Clothing,10,Professional,668,50189.13,1298,75.133428
Clothing,12,Professional,573,39447.30,1161,68.843455
Clothing,2,Entry,512,37114.57,996,72.489395
Clothing,14,Professional,473,35550.62,941,75.159873
Clothing,6,Skilled,445,34849.23,924,78.312876
Clothing,16,Executive,445,31066.77,854,69.812966
Clothing,3,Entry,398,28798.87,781,72.358970
Clothing,5,Skilled,252,19208.15,522,76.222817
Clothing,9,Skilled,250,18914.88,496,75.659520
Clothing,19,Executive,228,18306.45,462,80.291447
Clothing,11,Professional,219,15520.87,434,70.871553
Clothing,15,Executive,230,15085.46,446,65.588957
Clothing,18,Executive,125,9692.27,246,77.538160
Clothing,13,Professional,122,8734.04,251,71.590492
Clothing,8,Skilled,39,2983.57,71,76.501795
Electronics,4,Entry,3039,250112.02,5983,82.300763
Electronics,0,Entry,2971,247976.17,6030,83.465557
Electronics,7,Skilled,2511,207694.03,5018,82.713672
Electronics,1,Entry,1922,160041.08,3842,83.267992
Electronics,17,Executive,1971,159648.34,3917,80.998650
Electronics,20,Executive,1462,119863.54,2939,81.986005
Electronics,12,Professional,1422,118663.67,2850,83.448432
Electronics,2,Entry,1110,93652.97,2180,84.372045
Electronics,16,Executive,1130,91414.20,2284,80.897522
Electronics,14,Professional,1104,87900.66,2164,79.620163
Electronics,6,Skilled,821,65646.03,1587,79.958624
Electronics,10,Professional,720,62394.57,1484,86.659125
Electronics,3,Entry,666,56319.97,1341,84.564520
Electronics,5,Skilled,589,49246.93,1180,83.611087
Electronics,15,Executive,579,47821.44,1167,82.593161
Electronics,11,Professional,476,41123.01,997,86.392878
