Product_Category,Occupation,Occupation_Bucket,Total_Sales,Sales_Rank
Appliances,0,Entry,14478.23,1
Appliances,1,Entry,14091.25,2
Appliances,4,Entry,12742.12,3
Appliances,7,Skilled,12668.51,4
Appliances,20,Executive,9757.02,5
"Arts, Crafts & Sewing",4,Entry,93608.70,1
"Arts, Crafts & Sewing",0,Entry,90769.63,2
"Arts, Crafts & Sewing",7,Skilled,83928.15,3
"Arts, Crafts & Sewing",1,Entry,61181.17,4
"Arts, Crafts & Sewing",17,Executive,54501.17,5
Automotive,0,Entry,61445.19,1
Automotive,7,Skilled,50967.58,2
Automotive,1,Entry,48905.52,3
Automotive,4,Entry,48101.31,4
Automotive,20,Executive,39443.88,5
Baby,0,Entry,46686.48,1
Baby,4,Entry,36538.70,2
Baby,20,Executive,33414.65,3
Baby,1,Entry,31703.34,4
Baby,7,Skilled,25738.68,5
"Books, Movies & Music",7,Skilled,43668.83,1
"Books, Movies & Music",0,Entry,41280.26,2
"Books, Movies & Music",4,Entry,27739.50,3
"Books, Movies & Music",1,Entry,23014.91,4
"Books, Movies & Music",17,Executive,21614.26,5
Clothing,4,Entry,128830.66,1
Clothing,0,Entry,108026.78,2
Clothing,7,Skilled,79451.55,3
Clothing,1,Entry,70509.95,4
Clothing,17,Executive,62103.73,5
Electronics,4,Entry,250112.02,1
Electronics,0,Entry,247976.17,2
Electronics,7,Skilled,207694.03,3
Electronics,1,Entry,160041.08,4
Electronics,17,Executive,159648.34,5
Furniture,0,Entry,60644.32,1
Furniture,7,Skilled,50706.37,2
Furniture,1,Entry,49073.88,3
Furniture,4,Entry,48673.76,4
Furniture,17,Executive,37735.87,5
Grocery,4,Entry,1547433.61,1
Grocery,0,Entry,1444619.22,2
Grocery,7,Skilled,1292442.45,3
Grocery,17,Executive,1036160.32,4
Grocery,1,Entry,835193.87,5
Health & Beauty,4,Entry,1668251.27,1
Health & Beauty,0,Entry,1526082.99,2
Health & Beauty,7,Skilled,1242958.13,3
Health & Beauty,1,Entry,1062135.94,4
Health & Beauty,20,Executive,804593.61,5
Home & Kitchen,4,Entry,265424.05,1
Home & Kitchen,0,Entry,215359.77,2
Home & Kitchen,1,Entry,131397.48,3
Home & Kitchen,7,Skilled,126441.84,4
Home & Kitchen,17,Executive,121554.04,5
Household Essentials,4,Entry,222756.44,1
Household Essentials,0,Entry,221357.12,2
Household Essentials,7,Skilled,199020.94,3
Household Essentials,1,Entry,153109.87,4
Household Essentials,20,Executive,123325.16,5
Jewelry & Accessories,7,Skilled,11111.79,1
Jewelry & Accessories,4,Entry,10395.57,2
Jewelry & Accessories,0,Entry,9995.94,3
Jewelry & Accessories,1,Entry,7945.89,4
Jewelry & Accessories,17,Executive,7369.80,5
Office & School Supplies,4,Entry,63917.13,1
Office & School Supplies,0,Entry,58946.65,2
Office & School Supplies,7,Skilled,46670.46,3
Office & School Supplies,17,Executive,44318.79,4
Office & School Supplies,1,Entry,39984.19,5
Patio & Garden,0,Entry,303241.81,1
Patio & Garden,4,Entry,249946.15,2
Patio & Garden,7,Skilled,185099.13,3
Patio & Garden,17,Executive,143570.87,4
Patio & Garden,1,Entry,131445.46,5
Pets,0,Entry,30861.05,1
Pets,7,Skilled,30552.40,2
Pets,1,Entry,29821.86,3
Pets,4,Entry,25842.48,4
Pets,20,Executive,18156.31,5
Pharmacy & OTC,7,Skilled,6603.54,1
Pharmacy & OTC,0,Entry,5113.89,2
Pharmacy & OTC,1,Entry,4819.83,3
Pharmacy & OTC,16,Executive,4103.42,4
Pharmacy & OTC,4,Entry,3893.27,5
Shoes,4,Entry,42495.62,1
Shoes,0,Entry,37632.07,2
Shoes,7,Skilled,32096.42,3
Shoes,1,Entry,27176.99,4
Shoes,17,Executive,25468.02,5
Sports & Outdoors,17,Executive,2870.48,1
Sports & Outdoors,4,Entry,2735.08,2
Sports & Outdoors,0,Entry,2480.98,3
Sports & Outdoors,7,Skilled,2112.24,4
Sports & Outdoors,12,Professional,1516.48,5
Toys,0,Entry,1139690.89,1
Toys,4,Entry,1112834.45,2
Toys,7,Skilled,1017499.77,3
Toys,1,Entry,975505.54,4
Toys,20,Executive,616241.09,5
