City_Category,Marital_Status,Year,Month,Month_Name,Total_Purchase_Amount,Total_Transactions,Unique_Customers
A,0,2020,7,July,108329.65,1314,414
A,1,2020,7,July,63664.92,790,237
B,0,2020,7,July,156669.85,1917,673
B,1,2020,7,July,106299.53,1337,480
C,0,2020,7,July,107386.18,1375,829
C,1,2020,7,July,82731.10,1040,636
A,0,2020,8,August,105325.29,1310,411
A,1,2020,8,August,63351.89,806,254
B,0,2020,8,August,152077.42,1849,647
B,1,2020,8,August,106978.34,1352,465
C,0,2020,8,August,117423.09,1415,848
C,1,2020,8,August,85288.68,1047,636
A,0,2020,9,September,98063.76,1205,402
A,1,2020,9,September,65446.68,780,240
B,0,2020,9,September,145484.86,1848,644
B,1,2020,9,September,105244.50,1254,458
C,0,2020,9,September,106537.67,1306,787
C,1,2020,9,September,88430.59,1098,674
A,0,2020,10,October,104679.29,1292,416
A,1,2020,10,October,66031.83,802,235
B,0,2020,10,October,162009.30,1996,678
B,1,2020,10,October,113500.46,1401,469
C,0,2020,10,October,106180.56,1346,820
C,1,2020,10,October,84320.47,1057,642
A,0,2020,11,November,98789.97,1196,411
A,1,2020,11,November,61895.95,764,241
B,0,2020,11,November,156196.66,1887,665
B,1,2020,11,November,105518.63,1318,479
C,0,2020,11,November,104925.24,1299,809
C,1,2020,11,November,79003.98,980,605
A,0,2020,12,December,107091.89,1318,411
A,1,2020,12,December,65560.12,775,236
B,0,2020,12,December,155984.88,1933,700
B,1,2020,12,December,104098.75,1272,478
C,0,2020,12,December,113848.66,1395,864
C,1,2020,12,December,78708.06,1012,651
