Stay_In_Current_City_Years,Stay_Bucket,Gender,Total_Transactions,Total_Purchase_Amount,Avg_Purchase_Amount,Unique_Customers
0,0 yrs,F,17063,1392633.23,81.617138,214
0,0 yrs,M,57335,4641121.63,80.947443,558
1,1 yr,F,51298,4139504.21,80.695236,604
1,1 yr,M,142523,11518117.71,80.815852,1482
2,2 yrs,F,24332,1987244.85,81.672072,328
2,2 yrs,M,77506,6281980.92,81.051543,817
3,3 yrs,F,24520,1980996.44,80.791046,286
3,3 yrs,M,70765,5719664.59,80.826179,693
4,4+ yrs,F,18596,1484191.42,79.812402,234
4,4+ yrs,M,66130,5362264.58,81.086717,675
