Product_Category,City_Category,City_Tier,Total_Revenue,Revenue_Rank
Appliances,B,Urban,49395.82,1
Appliances,A,Metro,36902.11,2
Appliances,C,Town,32501.21,3
"Arts, Crafts & Sewing",B,Urban,310595.71,1
"Arts, Crafts & Sewing",A,Metro,222810.59,2
"Arts, Crafts & Sewing",C,Town,218588.25,3
Automotive,B,Urban,199054.82,1
Automotive,C,Town,167970.73,2
Automotive,A,Metro,128189.51,3
Baby,B,Urban,132161.88,1
Baby,A,Metro,104133.30,2
Baby,C,Town,74901.51,3
"Books, Movies & Music",B,Urban,131015.16,1
"Books, Movies & Music",C,Town,98138.91,2
"Books, Movies & Music",A,Metro,72728.62,3
Clothing,B,Urban,394863.35,1
Clothing,C,Town,243396.46,2
Clothing,A,Metro,227608.16,3
Electronics,B,Urban,862161.07,1
Electronics,C,Town,607211.89,2
Electronics,A,Metro,502796.59,3
Furniture,B,Urban,189329.28,1
Furniture,C,Town,142279.50,2
Furniture,A,Metro,135792.77,3
Grocery,B,Urban,4753986.39,1
Grocery,C,Town,3755717.06,2
Grocery,A,Metro,2869277.69,3
Health & Beauty,B,Urban,5178910.58,1
Health & Beauty,C,Town,3586933.75,2
Health & Beauty,A,Metro,3387620.20,3
Home & Kitchen,B,Urban,700169.49,1
Home & Kitchen,C,Town,528580.48,2
Home & Kitchen,A,Metro,400997.63,3
Household Essentials,B,Urban,724544.03,1
Household Essentials,C,Town,544132.65,2
Household Essentials,A,Metro,475656.37,3
Jewelry & Accessories,C,Town,49336.14,1
Jewelry & Accessories,B,Urban,25373.91,2
Jewelry & Accessories,A,Metro,16317.36,3
Office & School Supplies,B,Urban,206089.02,1
Office & School Supplies,C,Town,149252.68,2
Office & School Supplies,A,Metro,134197.89,3
Patio & Garden,B,Urban,823880.16,1
Patio & Garden,C,Town,554242.86,2
Patio & Garden,A,Metro,525094.57,3
Pets,B,Urban,115351.67,1
Pets,C,Town,81778.60,2
Pets,A,Metro,73185.80,3
Pharmacy & OTC,B,Urban,22018.34,1
Pharmacy & OTC,C,Town,16052.05,2
Pharmacy & OTC,A,Metro,10018.83,3
Shoes,C,Town,164948.80,1
Shoes,B,Urban,94644.33,2
Shoes,A,Metro,59391.82,3
Sports & Outdoors,B,Urban,9315.52,1
Sports & Outdoors,C,Town,6634.60,2
Sports & Outdoors,A,Metro,6055.54,3
Toys,B,Urban,3822693.15,1
Toys,C,Town,2751393.35,2
Toys,A,Metro,2599399.07,3
