Product_Category,Year,Month,Month_Name,Monthly_Sales,Previous_Month_Sales,Growth_Percentage
Appliances,2017,1,January,1462.35,,
Appliances,2017,2,February,2270.92,1462.35,55.29
Appliances,2017,3,March,870.57,2270.92,-61.66
Appliances,2017,4,April,2163.03,870.57,148.46
Appliances,2017,5,May,1584.52,2163.03,-26.75
Appliances,2017,6,June,1917.88,1584.52,21.04
Appliances,2017,7,July,1601.32,1917.88,-16.51
Appliances,2017,8,August,1812.42,1601.32,13.18
Appliances,2017,9,September,1797.79,1812.42,-0.81
Appliances,2017,10,October,1300.23,1797.79,-27.68
Appliances,2017,11,November,2194.93,1300.23,68.81
Appliances,2017,12,December,2697.42,2194.93,22.89
"Arts, Crafts & Sewing",2017,1,January,9099.94,,
"Arts, Crafts & Sewing",2017,2,February,11928.36,9099.94,31.08
"Arts, Crafts & Sewing",2017,3,March,11212.99,11928.36,-6.00
"Arts, Crafts & Sewing",2017,4,April,8506.37,11212.99,-24.14
"Arts, Crafts & Sewing",2017,5,May,10759.85,8506.37,26.49
"Arts, Crafts & Sewing",2017,6,June,10588.51,10759.85,-1.59
"Arts, Crafts & Sewing",2017,7,July,9901.36,10588.51,-6.49
"Arts, Crafts & Sewing",2017,8,August,10840.82,9901.36,9.49
"Arts, Crafts & Sewing",2017,9,September,10623.06,10840.82,-2.01
"Arts, Crafts & Sewing",2017,10,October,10727.62,10623.06,0.98
"Arts, Crafts & Sewing",2017,11,November,9631.90,10727.62,-10.21
"Arts, Crafts & Sewing",2017,12,December,11054.70,9631.90,14.77
Automotive,2017,1,January,6800.00,,
Automotive,2017,2,February,5924.61,6800.00,-12.87
Automotive,2017,3,March,7874.36,5924.61,32.91
Automotive,2017,4,April,6285.22,7874.36,-20.18
Automotive,2017,5,May,6371.36,6285.22,1.37
Automotive,2017,6,June,7784.78,6371.36,22.18
Automotive,2017,7,July,6542.79,7784.78,-15.95
Automotive,2017,8,August,7185.88,6542.79,9.83
Automotive,2017,9,September,6280.84,7185.88,-12.59
Automotive,2017,10,October,6343.02,6280.84,0.99
Automotive,2017,11,November,5853.87,6343.02,-7.71
Automotive,2017,12,December,7573.66,5853.87,29.38
Baby,2017,1,January,3786.64,,
Baby,2017,2,February,4264.16,3786.64,12.61
Baby,2017,3,March,3269.45,4264.16,-23.33
Baby,2017,4,April,4236.67,3269.45,29.58
Baby,2017,5,May,3699.49,4236.67,-12.68
Baby,2017,6,June,4286.28,3699.49,15.86
Baby,2017,7,July,3915.12,4286.28,-8.66
Baby,2017,8,August,4779.39,3915.12,22.08
Baby,2017,9,September,3598.70,4779.39,-24.70
Baby,2017,10,October,3831.17,3598.70,6.46
Baby,2017,11,November,4453.49,3831.17,16.24
Baby,2017,12,December,4840.59,4453.49,8.69
"Books, Movies & Music",2017,1,January,2941.67,,
"Books, Movies & Music",2017,2,February,1952.65,2941.67,-33.62
"Books, Movies & Music",2017,3,March,5259.29,1952.65,169.34
"Books, Movies & Music",2017,4,April,3554.37,5259.29,-32.42
"Books, Movies & Music",2017,5,May,3978.40,3554.37,11.93
"Books, Movies & Music",2017,6,June,5367.05,3978.40,34.90
"Books, Movies & Music",2017,7,July,4614.34,5367.05,-14.02
"Books, Movies & Music",2017,8,August,4767.14,4614.34,3.31
"Books, Movies & Music",2017,9,September,4783.50,4767.14,0.34
"Books, Movies & Music",2017,10,October,4211.17,4783.50,-11.96
"Books, Movies & Music",2017,11,November,5245.49,4211.17,24.56
"Books, Movies & Music",2017,12,December,3436.45,5245.49,-34.49
Clothing,2017,1,January,11754.57,,
Clothing,2017,2,February,10535.82,11754.57,-10.37
Clothing,2017,3,March,11109.81,10535.82,5.45
Clothing,2017,4,April,12851.76,11109.81,15.68
Clothing,2017,5,May,13007.64,12851.76,1.21
Clothing,2017,6,June,12020.27,13007.64,-7.59
Clothing,2017,7,July,12881.60,12020.27,7.17
Clothing,2017,8,August,12768.07,12881.60,-0.88
Clothing,2017,9,September,11086.71,12768.07,-13.17
Clothing,2017,10,October,10995.38,11086.71,-0.82
Clothing,2017,11,November,11224.02,10995.38,2.08
Clothing,2017,12,December,13493.29,11224.02,20.22
Electronics,2017,1,January,25939.70,,
Electronics,2017,2,February,21868.49,25939.70,-15.69
Electronics,2017,3,March,26262.68,21868.49,20.09
Electronics,2017,4,April,24994.37,26262.68,-4.83
Electronics,2017,5,May,25018.77,24994.37,0.10
Electronics,2017,6,June,27211.95,25018.77,8.77
Electronics,2017,7,July,27503.68,27211.95,1.07
Electronics,2017,8,August,24985.09,27503.68,-9.16
Electronics,2017,9,September,28024.89,24985.09,12.17
Electronics,2017,10,October,28482.14,28024.89,1.63
Electronics,2017,11,November,26396.67,28482.14,-7.32
Electronics,2017,12,December,27267.66,26396.67,3.30
Furniture,2017,1,January,5901.48,,
Furniture,2017,2,February,6264.00,5901.48,6.14
Furniture,2017,3,March,5584.35,6264.00,-10.85
Furniture,2017,4,April,6734.39,5584.35,20.59
Furniture,2017,5,May,7496.29,6734.39,11.31
Furniture,2017,6,June,6726.58,7496.29,-10.27
Furniture,2017,7,July,5846.51,6726.58,-13.08
Furniture,2017,8,August,6264.18,5846.51,7.14
Furniture,2017,9,September,7743.27,6264.18,23.61
Furniture,2017,10,October,6800.71,7743.27,-12.17
Furniture,2017,11,November,7457.59,6800.71,9.66
Furniture,2017,12,December,7350.22,7457.59,-1.44
Grocery,2017,1,January,165120.94,,
Grocery,2017,2,February,144096.73,165120.94,-12.73
Grocery,2017,3,March,164368.32,144096.73,14.07
Grocery,2017,4,April,160390.60,164368.32,-2.42
Grocery,2017,5,May,162920.16,160390.60,1.58
Grocery,2017,6,June,152522.06,162920.16,-6.38
Grocery,2017,7,July,152043.02,152522.06,-0.31
Grocery,2017,8,August,158774.35,152043.02,4.43
Grocery,2017,9,September,151228.05,158774.35,-4.75
Grocery,2017,10,October,165924.56,151228.05,9.72
Grocery,2017,11,November,160367.56,165924.56,-3.35
Grocery,2017,12,December,164364.23,160367.56,2.49
Health & Beauty,2017,1,January,170042.90,,
Health & Beauty,2017,2,February,151636.90,170042.90,-10.82
Health & Beauty,2017,3,March,169805.97,151636.90,11.98
Health & Beauty,2017,4,April,171577.79,169805.97,1.04
Health & Beauty,2017,5,May,167438.62,171577.79,-2.41
Health & Beauty,2017,6,June,170804.61,167438.62,2.01
Health & Beauty,2017,7,July,163079.42,170804.61,-4.52
Health & Beauty,2017,8,August,169107.74,163079.42,3.70
Health & Beauty,2017,9,September,174484.65,169107.74,3.18
Health & Beauty,2017,10,October,176757.97,174484.65,1.30
Health & Beauty,2017,11,November,163983.16,176757.97,-7.23
Health & Beauty,2017,12,December,166559.37,163983.16,1.57
Home & Kitchen,2017,1,January,24448.98,,
Home & Kitchen,2017,2,February,19013.50,24448.98,-22.23
Home & Kitchen,2017,3,March,23489.98,19013.50,23.54
Home & Kitchen,2017,4,April,23308.74,23489.98,-0.77
Home & Kitchen,2017,5,May,24255.62,23308.74,4.06
Home & Kitchen,2017,6,June,20218.86,24255.62,-16.64
Home & Kitchen,2017,7,July,23030.60,20218.86,13.91
Home & Kitchen,2017,8,August,20116.28,23030.60,-12.65
Home & Kitchen,2017,9,September,21579.99,20116.28,7.28
Home & Kitchen,2017,10,October,24505.78,21579.99,13.56
Home & Kitchen,2017,11,November,19976.40,24505.78,-18.48
Home & Kitchen,2017,12,December,23511.71,19976.40,17.70
Household Essentials,2017,1,January,24535.36,,
Household Essentials,2017,2,February,23875.68,24535.36,-2.69
Household Essentials,2017,3,March,25174.25,23875.68,5.44
Household Essentials,2017,4,April,25407.23,25174.25,0.93
Household Essentials,2017,5,May,21988.45,25407.23,-13.46
Household Essentials,2017,6,June,23376.17,21988.45,6.31
Household Essentials,2017,7,July,24471.89,23376.17,4.69
Household Essentials,2017,8,August,25953.25,24471.89,6.05
Household Essentials,2017,9,September,26568.57,25953.25,2.37
Household Essentials,2017,10,October,27178.14,26568.57,2.29
Household Essentials,2017,11,November,26244.75,27178.14,-3.43
Household Essentials,2017,12,December,25821.56,26244.75,-1.61
Jewelry & Accessories,2017,1,January,1562.19,,
Jewelry & Accessories,2017,2,February,1816.50,1562.19,16.28
Jewelry & Accessories,2017,3,March,1022.43,1816.50,-43.71
Jewelry & Accessories,2017,4,April,1536.24,1022.43,50.25
Jewelry & Accessories,2017,5,May,1328.64,1536.24,-13.51
Jewelry & Accessories,2017,6,June,975.72,1328.64,-26.56
Jewelry & Accessories,2017,7,July,576.09,975.72,-40.96
Jewelry & Accessories,2017,8,August,1022.43,576.09,77.48
Jewelry & Accessories,2017,9,September,1032.81,1022.43,1.02
Jewelry & Accessories,2017,10,October,1510.29,1032.81,46.23
Jewelry & Accessories,2017,11,November,1012.05,1510.29,-32.99
Jewelry & Accessories,2017,12,December,1323.45,1012.05,30.77
Office & School Supplies,2017,1,January,6781.74,,
Office & School Supplies,2017,2,February,6537.26,6781.74,-3.60
Office & School Supplies,2017,3,March,8607.48,6537.26,31.67
Office & School Supplies,2017,4,April,7486.35,8607.48,-13.03
Office & School Supplies,2017,5,May,7203.01,7486.35,-3.78
Office & School Supplies,2017,6,June,5943.86,7203.01,-17.48
Office & School Supplies,2017,7,July,6972.45,5943.86,17.31
Office & School Supplies,2017,8,August,7342.55,6972.45,5.31
Office & School Supplies,2017,9,September,6123.33,7342.55,-16.60
Office & School Supplies,2017,10,October,7850.79,6123.33,28.21
Office & School Supplies,2017,11,November,5892.65,7850.79,-24.94
Office & School Supplies,2017,12,December,6678.75,5892.65,13.34
Patio & Garden,2017,1,January,28777.93,,
Patio & Garden,2017,2,February,24713.06,28777.93,-14.12
Patio & Garden,2017,3,March,28309.51,24713.06,14.55
Patio & Garden,2017,4,April,26518.70,28309.51,-6.33
Patio & Garden,2017,5,May,25648.56,26518.70,-3.28
Patio & Garden,2017,6,June,23889.27,25648.56,-6.86
Patio & Garden,2017,7,July,29133.36,23889.27,21.95
Patio & Garden,2017,8,August,25341.40,29133.36,-13.02
Patio & Garden,2017,9,September,22782.04,25341.40,-10.10
Patio & Garden,2017,10,October,27352.43,22782.04,20.06
Patio & Garden,2017,11,November,26555.04,27352.43,-2.92
Patio & Garden,2017,12,December,27183.55,26555.04,2.37
Pets,2017,1,January,2973.72,,
Pets,2017,2,February,2571.82,2973.72,-13.52
Pets,2017,3,March,2998.56,2571.82,16.59
Pets,2017,4,April,3233.53,2998.56,7.84
Pets,2017,5,May,3508.16,3233.53,8.49
Pets,2017,6,June,3710.25,3508.16,5.76
Pets,2017,7,July,3519.67,3710.25,-5.14
Pets,2017,8,August,3613.67,3519.67,2.67
Pets,2017,9,September,4509.71,3613.67,24.80
Pets,2017,10,October,3491.65,4509.71,-22.57
Pets,2017,11,November,5053.67,3491.65,44.74
Pets,2017,12,December,3464.65,5053.67,-31.44
Pharmacy & OTC,2017,1,January,683.46,,
Pharmacy & OTC,2017,2,February,590.34,683.46,-13.62
Pharmacy & OTC,2017,3,March,1554.13,590.34,163.26
Pharmacy & OTC,2017,4,April,435.16,1554.13,-72.00
Pharmacy & OTC,2017,5,May,565.92,435.16,30.05
Pharmacy & OTC,2017,6,June,378.36,565.92,-33.14
Pharmacy & OTC,2017,7,July,563.10,378.36,48.83
Pharmacy & OTC,2017,8,August,749.81,563.10,33.16
Pharmacy & OTC,2017,9,September,343.06,749.81,-54.25
Pharmacy & OTC,2017,10,October,391.56,343.06,14.14
Pharmacy & OTC,2017,11,November,1065.43,391.56,172.10
Pharmacy & OTC,2017,12,December,430.36,1065.43,-59.61
Shoes,2017,1,January,6628.42,,
Shoes,2017,2,February,4885.21,6628.42,-26.30
Shoes,2017,3,March,4334.98,4885.21,-11.26
Shoes,2017,4,April,3776.19,4334.98,-12.89
Shoes,2017,5,May,4564.80,3776.19,20.88
Shoes,2017,6,June,3427.62,4564.80,-24.91
