Product_ID,Product_Category,Year,Month,Month_Name,Day_Type,Revenue,Revenue_Rank
P00002142,Grocery,2017,1,January,Weekday,2926.00,1
P00184942,Grocery,2017,1,January,Weekday,2406.96,2
P00372445,Shoes,2017,1,January,Weekday,2314.40,3
P00110842,Grocery,2017,1,January,Weekday,2155.80,4
P00371644,Shoes,2017,1,January,Weekday,2022.72,5
P00127342,Grocery,2017,1,January,Weekend,1055.04,1
P00037142,Grocery,2017,1,January,Weekend,968.55,2
P00250242,Health & Beauty,2017,1,January,Weekend,941.78,3
P00303042,Health & Beauty,2017,1,January,Weekend,932.80,4
P00005742,Toys,2017,1,January,Weekend,911.88,5
P00057942,Grocery,2017,2,February,Weekday,2104.65,1
P00059442,Household Essentials,2017,2,February,Weekday,1946.19,2
P00199442,Health & Beauty,2017,2,February,Weekday,1780.11,3
P00084842,Toys,2017,2,February,Weekday,1720.88,4
P00286642,Patio & Garden,2017,2,February,Weekday,1715.80,5
P00265242,Health & Beauty,2017,2,February,Weekend,1154.40,1
P00057942,Grocery,2017,2,February,Weekend,1091.30,2
P00251242,Health & Beauty,2017,2,February,Weekend,1083.00,3
P00375436,Shoes,2017,2,February,Weekend,1035.45,4
P00356742,Health & Beauty,2017,2,February,Weekend,984.15,5
P00034742,Health & Beauty,2017,3,March,Weekday,2494.10,1
P00059442,Household Essentials,2017,3,March,Weekday,2348.85,2
P00184942,Grocery,2017,3,March,Weekday,2340.10,3
P00057942,Grocery,2017,3,March,Weekday,2182.60,4
P00271142,Health & Beauty,2017,3,March,Weekday,2102.22,5
P00265242,Health & Beauty,2017,3,March,Weekend,1000.48,1
P00086442,Toys,2017,3,March,Weekend,886.62,2
P00025442,Grocery,2017,3,March,Weekend,882.60,3
P00085242,Toys,2017,3,March,Weekend,862.18,4
P00078742,Health & Beauty,2017,3,March,Weekend,845.79,5
P00115642,Toys,2017,4,April,Weekday,2476.90,1
P00110842,Grocery,2017,4,April,Weekday,2227.66,2
P00184942,Grocery,2017,4,April,Weekday,2072.66,3
P00112542,Grocery,2017,4,April,Weekday,2071.62,4
P00120042,Grocery,2017,4,April,Weekday,1938.38,5
P00318742,Grocery,2017,4,April,Weekend,1353.96,1
P00110842,Grocery,2017,4,April,Weekend,1221.62,2
P00059442,Household Essentials,2017,4,April,Weekend,1073.76,3
P00115642,Toys,2017,4,April,Weekend,1038.70,4
P00085242,Toys,2017,4,April,Weekend,1018.94,5
P00110842,Grocery,2017,5,May,Weekday,3161.84,1
