Store_ID,Store_Name,Year,Quarter,Quarter_Label,Quarterly_Revenue,Previous_Quarter_Revenue,Growth_Rate_Percentage
1,Electro Mart,2017,1,Q1-2017,266109.81,,
1,Electro Mart,2017,2,Q2-2017,252927.52,266109.81,-4.95
1,Electro Mart,2017,3,Q3-2017,251342.94,252927.52,-0.63
1,Electro Mart,2017,4,Q4-2017,266426.90,251342.94,6.00
2,Tech Haven,2017,1,Q1-2017,233749.29,,
2,Tech Haven,2017,2,Q2-2017,236580.22,233749.29,1.21
2,Tech Haven,2017,3,Q3-2017,239220.39,236580.22,1.12
2,Tech Haven,2017,4,Q4-2017,237772.05,239220.39,-0.61
3,Sound Zone,2017,1,Q1-2017,389904.39,,
3,Sound Zone,2017,2,Q2-2017,416160.94,389904.39,6.73
3,Sound Zone,2017,3,Q3-2017,410581.56,416160.94,-1.34
3,Sound Zone,2017,4,Q4-2017,424142.87,410581.56,3.30
4,Game Zone,2017,1,Q1-2017,369516.30,,
4,Game Zone,2017,2,Q2-2017,374116.40,369516.30,1.24
4,Game Zone,2017,3,Q3-2017,376589.49,374116.40,0.66
4,Game Zone,2017,4,Q4-2017,395890.37,376589.49,5.13
5,InnoTech,2017,1,Q1-2017,246292.59,,
5,InnoTech,2017,2,Q2-2017,250089.39,246292.59,1.54
5,InnoTech,2017,3,Q3-2017,247719.50,250089.39,-0.95
5,InnoTech,2017,4,Q4-2017,252261.35,247719.50,1.83
51,Pakistan,2017,1,Q1-2017,22863.75,,
51,Pakistan,2017,2,Q2-2017,23821.89,22863.75,4.19
51,Pakistan,2017,3,Q3-2017,25009.20,23821.89,4.98
51,Pakistan,2017,4,Q4-2017,24636.72,25009.20,-1.49
6,Photo World,2017,1,Q1-2017,166259.01,,
6,Photo World,2017,2,Q2-2017,167023.50,166259.01,0.46
6,Photo World,2017,3,Q3-2017,169339.05,167023.50,1.39
6,Photo World,2017,4,Q4-2017,178750.19,169339.05,5.56
7,Health Zone,2017,1,Q1-2017,117430.18,,
7,Health Zone,2017,2,Q2-2017,117741.63,117430.18,0.27
7,Health Zone,2017,3,Q3-2017,117072.38,117741.63,-0.57
7,Health Zone,2017,4,Q4-2017,119124.34,117072.38,1.75
