Store_Name,Store_ID,Supplier_Name,Supplier_ID,Product_ID,Product_Category,Total_Sales,Total_Quantity,Total_Transactions
Electro Mart,1,Sony Corporation,16,P00220442,Health & Beauty,182247.24,2527,1282
Electro Mart,1,Sony Corporation,16,P00085942,Electronics,114144.00,1968,963
Electro Mart,1,Sony Corporation,16,P00271142,Health & Beauty,96702.12,1564,791
Electro Mart,1,Sony Corporation,16,P00286642,Patio & Garden,87804.20,1177,561
Electro Mart,1,Sony Corporation,16,P00255842,"Arts, Crafts & Sewing",87171.58,2822,1383
Electro Mart,1,Sony Corporation,16,P00057542,Home & Kitchen,86406.04,1466,730
Electro Mart,1,Sony Corporation,16,P00003942,Health & Beauty,85257.67,1483,749
Electro Mart,1,Sony Corporation,16,P00130742,Grocery,83119.68,1116,549
Electro Mart,1,Sony Corporation,16,P00213242,Health & Beauty,78285.34,1258,636
Electro Mart,1,Sony Corporation,16,P00233542,Grocery,77877.00,1275,636
Electro Mart,1,Sony Corporation,16,P00004742,Household Essentials,77391.68,1168,597
Electro Mart,1,Sony Corporation,16,P00211142,Health & Beauty,75901.14,1239,609
Electro Mart,1,Sony Corporation,16,P00106742,Home & Kitchen,69328.16,968,491
Electro Mart,1,Sony Corporation,16,P00115142,Grocery,69054.75,1175,593
Electro Mart,1,Sony Corporation,16,P00001742,Toys,66832.26,929,461
Electro Mart,1,Sony Corporation,16,P00154042,Grocery,65714.04,1246,622
Electro Mart,1,Sony Corporation,16,P00114942,Grocery,65390.08,2296,1178
Electro Mart,1,Sony Corporation,16,P00241642,Grocery,64038.60,1062,556
Electro Mart,1,Sony Corporation,16,P00190142,Home & Kitchen,64008.00,1120,570
Electro Mart,1,Sony Corporation,16,P00128942,Grocery,61081.80,1910,936
Electro Mart,1,Sony Corporation,16,P00325742,Electronics,60016.00,775,389
Electro Mart,1,Sony Corporation,16,P00139942,Health & Beauty,58391.26,1306,660
Electro Mart,1,Sony Corporation,16,P00187842,Grocery,58056.48,906,446
Electro Mart,1,Sony Corporation,16,P00073642,Toys,56204.96,856,422
Electro Mart,1,Sony Corporation,16,P00159542,Automotive,54772.30,986,495
Electro Mart,1,Sony Corporation,16,P00189642,Toys,54542.20,710,348
Electro Mart,1,Sony Corporation,16,P00303042,Health & Beauty,54522.16,1169,599
Electro Mart,1,Sony Corporation,16,P0099342,Health & Beauty,51924.98,887,440
Electro Mart,1,Sony Corporation,16,P00220142,Grocery,48085.20,888,436
Electro Mart,1,Sony Corporation,16,P00112342,Furniture,47126.34,591,289
Electro Mart,1,Sony Corporation,16,P00003642,Toys,46633.86,1022,512
Electro Mart,1,Sony Corporation,16,P00220242,Home & Kitchen,45782.88,624,317
Electro Mart,1,Sony Corporation,16,P00054242,Grocery,45227.11,709,351
Electro Mart,1,Sony Corporation,16,P00003242,Toys,44532.18,1701,844
