Product_ID,Product_Category,Season,Year,Total_Sales,Total_Quantity,Total_Transactions,Avg_Transaction_Value
P00000142,Home & Kitchen,Spring,2015,2835.60,102,51,55.600000
P00000142,Home & Kitchen,Summer,2015,3085.80,111,57,54.136842
P00000142,Home & Kitchen,Fall,2015,2557.60,92,44,58.127273
P00000142,Home & Kitchen,Winter,2015,2835.60,102,48,59.075000
P00000142,Home & Kitchen,Spring,2016,2085.00,75,36,57.916667
P00000142,Home & Kitchen,Summer,2016,2974.60,107,54,55.085185
P00000142,Home & Kitchen,Fall,2016,2974.60,107,52,57.203846
P00000142,Home & Kitchen,Winter,2016,1918.20,69,34,56.417647
P00000142,Home & Kitchen,Spring,2017,2807.80,101,49,57.302041
P00000142,Home & Kitchen,Summer,2017,2724.40,98,50,54.488000
P00000142,Home & Kitchen,Fall,2017,2668.80,96,46,58.017391
P00000142,Home & Kitchen,Winter,2017,2891.20,104,55,52.567273
P00000142,Home & Kitchen,Spring,2018,2780.00,100,50,55.600000
P00000142,Home & Kitchen,Summer,2018,2057.20,74,41,50.175610
P00000142,Home & Kitchen,Fall,2018,2474.20,89,47,52.642553
P00000142,Home & Kitchen,Winter,2018,2307.40,83,45,51.275556
P00000142,Home & Kitchen,Spring,2019,2585.40,93,45,57.453333
P00000142,Home & Kitchen,Summer,2019,3252.60,117,56,58.082143
P00000142,Home & Kitchen,Fall,2019,2446.40,88,42,58.247619
P00000142,Home & Kitchen,Winter,2019,2335.20,84,43,54.306977
P00000142,Home & Kitchen,Spring,2020,2168.40,78,38,57.063158
P00000142,Home & Kitchen,Summer,2020,3169.20,114,56,56.592857
P00000142,Home & Kitchen,Fall,2020,3113.60,112,54,57.659259
P00000142,Home & Kitchen,Winter,2020,3085.80,111,59,52.301695
P00000242,Electronics,Spring,2015,1845.56,43,21,87.883810
P00000242,Electronics,Summer,2015,1115.92,26,13,85.840000
P00000242,Electronics,Fall,2015,1416.36,33,17,83.315294
P00000242,Electronics,Winter,2015,1330.52,31,17,78.265882
P00000242,Electronics,Spring,2016,1416.36,33,15,94.424000
P00000242,Electronics,Summer,2016,1459.28,34,17,85.840000
P00000242,Electronics,Fall,2016,772.56,18,8,96.570000
P00000242,Electronics,Winter,2016,1158.84,27,15,77.256000
P00000242,Electronics,Spring,2017,1673.88,39,20,83.694000
P00000242,Electronics,Summer,2017,987.16,23,12,82.263333
P00000242,Electronics,Fall,2017,1373.44,32,14,98.102857
P00000242,Electronics,Winter,2017,1244.68,29,15,82.978667
P00000242,Electronics,Spring,2018,1802.64,42,22,81.938182
P00000242,Electronics,Summer,2018,2231.84,52,23,97.036522
P00000242,Electronics,Fall,2018,1716.80,40,20,85.840000
P00000242,Electronics,Winter,2018,1845.56,43,21,87.883810
P00000242,Electronics,Spring,2019,815.48,19,9,90.608889
P00000242,Electronics,Summer,2019,557.96,13,6,92.993333
P00000242,Electronics,Fall,2019,772.56,18,11,70.232727
P00000242,Electronics,Winter,2019,987.16,23,10,98.716000
P00000242,Electronics,Spring,2020,901.32,21,9,100.146667
P00000242,Electronics,Summer,2020,1588.04,37,19,83.581053
P00000242,Electronics,Fall,2020,1416.36,33,18,78.686667
P00000242,Electronics,Winter,2020,2188.92,51,24,91.205000
P00000342,Health & Beauty,Spring,2015,1698.55,23,12,141.545833
P00000342,Health & Beauty,Summer,2015,1477.00,20,9,164.111111
P00000342,Health & Beauty,Fall,2015,1920.10,26,15,128.006667
P00000342,Health & Beauty,Winter,2015,1403.15,19,8,175.393750
P00000342,Health & Beauty,Spring,2016,1403.15,19,9,155.905556
P00000342,Health & Beauty,Summer,2016,1329.30,18,8,166.162500
P00000342,Health & Beauty,Fall,2016,1846.25,25,11,167.840909
P00000342,Health & Beauty,Winter,2016,1329.30,18,9,147.700000
P00000342,Health & Beauty,Spring,2017,1920.10,26,12,160.008333
P00000342,Health & Beauty,Summer,2017,1255.45,17,8,156.931250
P00000342,Health & Beauty,Fall,2017,2067.80,28,14,147.700000
P00000342,Health & Beauty,Winter,2017,2067.80,28,12,172.316667
P00000342,Health & Beauty,Spring,2018,369.25,5,3,123.083333
P00000342,Health & Beauty,Summer,2018,1698.55,23,9,188.727778
P00000342,Health & Beauty,Fall,2018,2067.80,28,15,137.853333
P00000342,Health & Beauty,Winter,2018,1698.55,23,14,121.325000
P00000342,Health & Beauty,Spring,2019,1255.45,17,8,156.931250
P00000342,Health & Beauty,Summer,2019,1107.75,15,6,184.625000
P00000342,Health & Beauty,Fall,2019,960.05,13,7,137.150000
P00000342,Health & Beauty,Winter,2019,1624.70,22,12,135.391667
P00000342,Health & Beauty,Spring,2020,2141.65,29,14,152.975000
P00000342,Health & Beauty,Summer,2020,1403.15,19,10,140.315000
P00000342,Health & Beauty,Fall,2020,1772.40,24,12,147.700000
P00000342,Health & Beauty,Winter,2020,1107.75,15,7,158.250000
P00000442,Health & Beauty,Spring,2015,284.20,14,7,40.600000
P00000442,Health & Beauty,Summer,2015,60.90,3,3,20.300000
P00000442,Health & Beauty,Fall,2015,121.80,6,3,40.600000
P00000442,Health & Beauty,Winter,2015,60.90,3,2,30.450000
P00000442,Health & Beauty,Spring,2016,60.90,3,3,20.300000
P00000442,Health & Beauty,Fall,2016,142.10,7,3,47.366667
P00000442,Health & Beauty,Winter,2016,284.20,14,7,40.600000
P00000442,Health & Beauty,Spring,2017,203.00,10,6,33.833333
P00000442,Health & Beauty,Summer,2017,243.60,12,4,60.900000
P00000442,Health & Beauty,Fall,2017,182.70,9,4,45.675000
P00000442,Health & Beauty,Winter,2017,60.90,3,1,60.900000
P00000442,Health & Beauty,Spring,2018,121.80,6,4,30.450000
P00000442,Health & Beauty,Summer,2018,142.10,7,4,35.525000
P00000442,Health & Beauty,Fall,2018,60.90,3,1,60.900000
P00000442,Health & Beauty,Winter,2018,324.80,16,7,46.400000
P00000442,Health & Beauty,Spring,2019,243.60,12,5,48.720000
P00000442,Health & Beauty,Summer,2019,121.80,6,2,60.900000
P00000442,Health & Beauty,Fall,2019,81.20,4,2,40.600000
P00000442,Health & Beauty,Winter,2019,223.30,11,6,37.216667
P00000442,Health & Beauty,Spring,2020,243.60,12,5,48.720000
P00000442,Health & Beauty,Summer,2020,162.40,8,5,32.480000
P00000442,Health & Beauty,Fall,2020,263.90,13,6,43.983333
P00000442,Health & Beauty,Winter,2020,81.20,4,2,40.600000
P00000542,Health & Beauty,Spring,2015,165.40,10,7,23.628571
P00000542,Health & Beauty,Summer,2015,198.48,12,7,28.354286
P00000542,Health & Beauty,Fall,2015,198.48,12,6,33.080000
P00000542,Health & Beauty,Winter,2015,181.94,11,6,30.323333
P00000542,Health & Beauty,Spring,2016,148.86,9,6,24.810000
P00000542,Health & Beauty,Summer,2016,231.56,14,7,33.080000
P00000542,Health & Beauty,Fall,2016,181.94,11,4,45.485000
P00000542,Health & Beauty,Winter,2016,264.64,16,9,29.404444
P00000542,Health & Beauty,Spring,2017,264.64,16,6,44.106667
P00000542,Health & Beauty,Summer,2017,99.24,6,2,49.620000
P00000542,Health & Beauty,Fall,2017,281.18,17,9,31.242222
