Store_ID,Store_Name,Supplier_ID,Supplier_Name,Year,Month,Month_Name,Monthly_Revenue,Previous_Month_Revenue,Revenue_Change_Percentage,Volatility_Percentage
1,Electro Mart,16,Sony Corporation,2015,1,January,86088.44,,,
1,Electro Mart,16,Sony Corporation,2015,2,February,85864.65,86088.44,-0.26,0.26
1,Electro Mart,16,Sony Corporation,2015,3,March,81193.30,85864.65,-5.44,5.44
1,Electro Mart,16,Sony Corporation,2015,4,April,84886.28,81193.30,4.55,4.55
1,Electro Mart,16,Sony Corporation,2015,5,May,85836.08,84886.28,1.12,1.12
1,Electro Mart,16,Sony Corporation,2015,6,June,82161.86,85836.08,-4.28,4.28
1,Electro Mart,16,Sony Corporation,2015,7,July,84755.97,82161.86,3.16,3.16
1,Electro Mart,16,Sony Corporation,2015,8,August,90956.01,84755.97,7.32,7.32
1,Electro Mart,16,Sony Corporation,2015,9,September,85035.03,90956.01,-6.51,6.51
1,Electro Mart,16,Sony Corporation,2015,10,October,86100.22,85035.03,1.25,1.25
1,Electro Mart,16,Sony Corporation,2015,11,November,88832.26,86100.22,3.17,3.17
1,Electro Mart,16,Sony Corporation,2015,12,December,91034.07,88832.26,2.48,2.48
1,Electro Mart,16,Sony Corporation,2016,1,January,87574.32,91034.07,-3.80,3.80
1,Electro Mart,16,Sony Corporation,2016,2,February,82520.40,87574.32,-5.77,5.77
1,Electro Mart,16,Sony Corporation,2016,3,March,86912.88,82520.40,5.32,5.32
1,Electro Mart,16,Sony Corporation,2016,4,April,88896.29,86912.88,2.28,2.28
1,Electro Mart,16,Sony Corporation,2016,5,May,89609.50,88896.29,0.80,0.80
1,Electro Mart,16,Sony Corporation,2016,6,June,78250.17,89609.50,-12.68,12.68
1,Electro Mart,16,Sony Corporation,2016,7,July,89219.04,78250.17,14.02,14.02
1,Electro Mart,16,Sony Corporation,2016,8,August,89219.47,89219.04,0.00,0.00
1,Electro Mart,16,Sony Corporation,2016,9,September,86282.12,89219.47,-3.29,3.29
1,Electro Mart,16,Sony Corporation,2016,10,October,87103.15,86282.12,0.95,0.95
1,Electro Mart,16,Sony Corporation,2016,11,November,86319.06,87103.15,-0.90,0.90
1,Electro Mart,16,Sony Corporation,2016,12,December,85451.22,86319.06,-1.01,1.01
1,Electro Mart,16,Sony Corporation,2017,1,January,90628.68,85451.22,6.06,6.06
1,Electro Mart,16,Sony Corporation,2017,2,February,82652.94,90628.68,-8.80,8.80
1,Electro Mart,16,Sony Corporation,2017,3,March,92828.19,82652.94,12.31,12.31
1,Electro Mart,16,Sony Corporation,2017,4,April,87093.77,92828.19,-6.18,6.18
1,Electro Mart,16,Sony Corporation,2017,5,May,84979.11,87093.77,-2.43,2.43
1,Electro Mart,16,Sony Corporation,2017,6,June,80854.64,84979.11,-4.85,4.85
1,Electro Mart,16,Sony Corporation,2017,7,July,83025.04,80854.64,2.68,2.68
1,Electro Mart,16,Sony Corporation,2017,8,August,83835.73,83025.04,0.98,0.98
1,Electro Mart,16,Sony Corporation,2017,9,September,84482.17,83835.73,0.77,0.77
1,Electro Mart,16,Sony Corporation,2017,10,October,91310.55,84482.17,8.08,8.08
1,Electro Mart,16,Sony Corporation,2017,11,November,81909.32,91310.55,-10.30,10.30
1,Electro Mart,16,Sony Corporation,2017,12,December,93207.03,81909.32,13.79,13.79
1,Electro Mart,16,Sony Corporation,2018,1,January,87030.24,93207.03,-6.63,6.63
1,Electro Mart,16,Sony Corporation,2018,2,February,77430.40,87030.24,-11.03,11.03
1,Electro Mart,16,Sony Corporation,2018,3,March,82734.84,77430.40,6.85,6.85
1,Electro Mart,16,Sony Corporation,2018,4,April,91621.82,82734.84,10.74,10.74
1,Electro Mart,16,Sony Corporation,2018,5,May,84942.07,91621.82,-7.29,7.29
1,Electro Mart,16,Sony Corporation,2018,6,June,85295.71,84942.07,0.42,0.42
1,Electro Mart,16,Sony Corporation,2018,7,July,85409.79,85295.71,0.13,0.13
1,Electro Mart,16,Sony Corporation,2018,8,August,94365.92,85409.79,10.49,10.49
1,Electro Mart,16,Sony Corporation,2018,9,September,82267.67,94365.92,-12.82,12.82
1,Electro Mart,16,Sony Corporation,2018,10,October,92182.92,82267.67,12.05,12.05
1,Electro Mart,16,Sony Corporation,2018,11,November,82942.76,92182.92,-10.02,10.02
1,Electro Mart,16,Sony Corporation,2018,12,December,83812.85,82942.76,1.05,1.05
1,Electro Mart,16,Sony Corporation,2019,1,January,86059.45,83812.85,2.68,2.68
1,Electro Mart,16,Sony Corporation,2019,2,February,78716.06,86059.45,-8.53,8.53
1,Electro Mart,16,Sony Corporation,2019,3,March,87679.12,78716.06,11.39,11.39
1,Electro Mart,16,Sony Corporation,2019,4,April,82843.19,87679.12,-5.52,5.52
1,Electro Mart,16,Sony Corporation,2019,5,May,84640.92,82843.19,2.17,2.17
1,Electro Mart,16,Sony Corporation,2019,6,June,91003.72,84640.92,7.52,7.52
1,Electro Mart,16,Sony Corporation,2019,7,July,92151.17,91003.72,1.26,1.26
1,Electro Mart,16,Sony Corporation,2019,8,August,86525.53,92151.17,-6.10,6.10
1,Electro Mart,16,Sony Corporation,2019,9,September,88826.57,86525.53,2.66,2.66
1,Electro Mart,16,Sony Corporation,2019,10,October,86184.18,88826.57,-2.97,2.97
1,Electro Mart,16,Sony Corporation,2019,11,November,85371.91,86184.18,-0.94,0.94
1,Electro Mart,16,Sony Corporation,2019,12,December,85145.43,85371.91,-0.27,0.27
1,Electro Mart,16,Sony Corporation,2020,1,January,83187.98,85145.43,-2.30,2.30
1,Electro Mart,16,Sony Corporation,2020,2,February,78515.02,83187.98,-5.62,5.62
1,Electro Mart,16,Sony Corporation,2020,3,March,90901.10,78515.02,15.78,15.78
1,Electro Mart,16,Sony Corporation,2020,4,April,81845.25,90901.10,-9.96,9.96
1,Electro Mart,16,Sony Corporation,2020,5,May,81583.07,81845.25,-0.32,0.32
1,Electro Mart,16,Sony Corporation,2020,6,June,80090.37,81583.07,-1.83,1.83
1,Electro Mart,16,Sony Corporation,2020,7,July,82064.49,80090.37,2.46,2.46
1,Electro Mart,16,Sony Corporation,2020,8,August,89873.03,82064.49,9.52,9.52
1,Electro Mart,16,Sony Corporation,2020,9,September,81898.27,89873.03,-8.87,8.87
1,Electro Mart,16,Sony Corporation,2020,10,October,89889.19,81898.27,9.76,9.76
1,Electro Mart,16,Sony Corporation,2020,11,November,83764.79,89889.19,-6.81,6.81
