StoreName,SupplierName,Product_ID,Year,Total_Revenue,Total_Quantity
ALL STORES,ALL SUPPLIERS,ALL PRODUCTS,,14782845.77,364513
ALL STORES,ALL SUPPLIERS,ALL PRODUCTS,2017.0,7386466.11,182541
Electro Mart,ALL SUPPLIERS,ALL PRODUCTS,2017.0,1036807.17,25388
Electro Mart,Sony Corporation,ALL PRODUCTS,2017.0,1036807.17,25388
Electro Mart,Sony Corporation,P00000442,2017.0,690.20,34
Electro Mart,Sony Corporation,P00001642,2017.0,2203.42,131
Electro Mart,Sony Corporation,P00001742,2017.0,9783.84,136
Electro Mart,Sony Corporation,P00002642,2017.0,1003.60,13
Electro Mart,Sony Corporation,P00003042,2017.0,95.44,4
Electro Mart,Sony Corporation,P00003242,2017.0,7251.86,277
Electro Mart,Sony Corporation,P00003642,2017.0,7528.95,165
Electro Mart,Sony Corporation,P00003942,2017.0,14602.46,254
Electro Mart,Sony Corporation,P00004042,2017.0,52.50,1
Electro Mart,Sony Corporation,P00004442,2017.0,1914.79,43
Electro Mart,Sony Corporation,P00004742,2017.0,14709.72,222
Electro Mart,Sony Corporation,P00005642,2017.0,434.76,12
Electro Mart,Sony Corporation,P00005742,2017.0,7599.00,100
Electro Mart,Sony Corporation,P00006042,2017.0,312.18,11
Electro Mart,Sony Corporation,P00007742,2017.0,725.40,15
Electro Mart,Sony Corporation,P00007942,2017.0,229.00,10
Electro Mart,Sony Corporation,P00008142,2017.0,929.24,13
Electro Mart,Sony Corporation,P00008342,2017.0,126.93,3
Electro Mart,Sony Corporation,P00008442,2017.0,1730.52,38
Electro Mart,Sony Corporation,P00008942,2017.0,138.28,2
Electro Mart,Sony Corporation,P00012442,2017.0,56.30,2
Electro Mart,Sony Corporation,P00012542,2017.0,445.26,6
Electro Mart,Sony Corporation,P00013642,2017.0,1222.50,25
Electro Mart,Sony Corporation,P00013942,2017.0,1356.75,81
Electro Mart,Sony Corporation,P00015742,2017.0,1547.70,70
Electro Mart,Sony Corporation,P00016242,2017.0,27.12,6
Electro Mart,Sony Corporation,P00016942,2017.0,109.82,17
Electro Mart,Sony Corporation,P00018142,2017.0,1958.40,36
Electro Mart,Sony Corporation,P00018242,2017.0,1002.40,28
Electro Mart,Sony Corporation,P00019342,2017.0,6770.19,103
Electro Mart,Sony Corporation,P00019642,2017.0,134.28,9
Electro Mart,Sony Corporation,P00021042,2017.0,202.60,20
Electro Mart,Sony Corporation,P00022242,2017.0,86.28,2
Electro Mart,Sony Corporation,P00022342,2017.0,1399.06,26
Electro Mart,Sony Corporation,P00024542,2017.0,62.36,4
Electro Mart,Sony Corporation,P00025342,2017.0,1581.40,20
Electro Mart,Sony Corporation,P00025642,2017.0,745.14,22
Electro Mart,Sony Corporation,P00026742,2017.0,2441.45,55
Electro Mart,Sony Corporation,P00028542,2017.0,5110.05,163
Electro Mart,Sony Corporation,P00028642,2017.0,626.23,11
Electro Mart,Sony Corporation,P00028742,2017.0,118.92,6
Electro Mart,Sony Corporation,P00029642,2017.0,227.31,3
Electro Mart,Sony Corporation,P00031842,2017.0,1783.80,60
Electro Mart,Sony Corporation,P00032842,2017.0,446.90,109
Electro Mart,Sony Corporation,P00035242,2017.0,2975.74,46
Electro Mart,Sony Corporation,P00035442,2017.0,448.62,6
Electro Mart,Sony Corporation,P00037042,2017.0,513.54,81
Electro Mart,Sony Corporation,P00038342,2017.0,20.23,1
Electro Mart,Sony Corporation,P00039442,2017.0,947.60,23
Electro Mart,Sony Corporation,P00039742,2017.0,566.48,97
Electro Mart,Sony Corporation,P00040842,2017.0,926.55,15
Electro Mart,Sony Corporation,P00041842,2017.0,3278.88,66
Electro Mart,Sony Corporation,P00043042,2017.0,296.35,5
Electro Mart,Sony Corporation,P00043342,2017.0,441.20,40
Electro Mart,Sony Corporation,P00043642,2017.0,217.14,11
Electro Mart,Sony Corporation,P00043842,2017.0,1235.11,29
Electro Mart,Sony Corporation,P00044142,2017.0,6722.88,149
Electro Mart,Sony Corporation,P00044342,2017.0,1845.36,24
Electro Mart,Sony Corporation,P00045142,2017.0,3013.53,39
Electro Mart,Sony Corporation,P00046142,2017.0,6473.66,173
Electro Mart,Sony Corporation,P00046442,2017.0,358.44,29
Electro Mart,Sony Corporation,P00048942,2017.0,1052.04,33
Electro Mart,Sony Corporation,P00049142,2017.0,545.74,26
Electro Mart,Sony Corporation,P00050642,2017.0,812.24,44
Electro Mart,Sony Corporation,P00051042,2017.0,1343.34,17
Electro Mart,Sony Corporation,P00052042,2017.0,2195.16,33
Electro Mart,Sony Corporation,P00053142,2017.0,1154.56,22
Electro Mart,Sony Corporation,P00053642,2017.0,50.68,14
Electro Mart,Sony Corporation,P00054242,2017.0,8611.65,135
Electro Mart,Sony Corporation,P00054342,2017.0,1980.18,27
Electro Mart,Sony Corporation,P00054742,2017.0,5.61,1
Electro Mart,Sony Corporation,P00054942,2017.0,3227.96,101
Electro Mart,Sony Corporation,P00055342,2017.0,212.76,3
Electro Mart,Sony Corporation,P00057542,2017.0,15088.64,256
Electro Mart,Sony Corporation,P00058142,2017.0,4713.93,117
Electro Mart,Sony Corporation,P00058342,2017.0,5668.66,82
Electro Mart,Sony Corporation,P00059042,2017.0,99.90,15
