Product_ID,Product_Category,Year,H1_Revenue,H2_Revenue,Yearly_Revenue,H1_Quantity,H2_Quantity,Yearly_Quantity,H1_Revenue_Percentage,H2_Revenue_Percentage
P00059442,Household Essentials,2017,15166.86,19260.57,34427.43,226,287,513,44.05,55.95
P00110842,Grocery,2017,18108.72,15018.74,33127.46,252,209,461,54.66,45.34
P00220442,Health & Beauty,2017,14640.36,17669.40,32309.76,203,245,448,45.31,54.69
P00184942,Grocery,2017,17651.04,11767.36,29418.40,264,176,440,60.00,40.00
P00044442,Grocery,2017,14058.10,13910.12,27968.22,190,188,378,50.26,49.74
P00277642,Electronics,2017,12912.44,14536.16,27448.60,167,188,355,47.04,52.96
P00265242,Health & Beauty,2017,13891.28,11620.96,25512.24,361,302,663,54.45,45.55
P00025442,Grocery,2017,12444.66,11826.84,24271.50,282,268,550,51.27,48.73
P00034742,Health & Beauty,2017,10790.80,13081.30,23872.10,212,257,469,45.20,54.80
P00031042,Toys,2017,12103.52,11521.62,23625.14,208,198,406,51.23,48.77
P00112542,Grocery,2017,12368.79,10967.40,23336.19,203,180,383,53.00,47.00
P00085242,Toys,2017,10738.06,11913.76,22651.82,137,152,289,47.40,52.60
P00116842,Electronics,2017,12588.49,9885.44,22473.93,163,128,291,56.01,43.99
P00251242,Health & Beauty,2017,10667.55,11804.70,22472.25,197,218,415,47.47,52.53
P00249542,Grocery,2017,10238.20,12066.45,22304.65,140,165,305,45.90,54.10
P00086442,Toys,2017,11146.08,10892.76,22038.84,176,172,348,50.57,49.43
P00002142,Grocery,2017,12142.90,9802.10,21945.00,166,134,300,55.33,44.67
P00057942,Grocery,2017,11068.90,10523.25,21592.15,142,135,277,51.26,48.74
P00178942,Health & Beauty,2017,9891.70,11565.68,21457.38,130,152,282,46.10,53.90
P00052842,Automotive,2017,11103.48,10349.54,21453.02,162,151,313,51.76,48.24
P00110542,Toys,2017,8514.96,12208.95,20723.91,136,195,331,41.09,58.91
P00115642,Toys,2017,10387.00,10307.10,20694.10,130,129,259,50.19,49.81
P00051442,Toys,2017,10851.44,9615.88,20467.32,202,179,381,53.02,46.98
P00240142,Health & Beauty,2017,10052.94,10283.16,20336.10,131,134,265,49.43,50.57
P00105142,Grocery,2017,10678.80,9449.12,20127.92,165,146,311,53.05,46.95
P00242742,Grocery,2017,8515.50,10753.86,19269.36,175,221,396,44.19,55.81
P00323942,Toys,2017,8591.88,10521.94,19113.82,138,169,307,44.95,55.05
P00037142,Grocery,2017,9556.36,9168.94,18725.30,148,142,290,51.03,48.97
P00318742,Grocery,2017,10681.24,7822.88,18504.12,142,104,246,57.72,42.28
P00372445,Shoes,2017,9546.90,8794.72,18341.62,165,152,317,52.05,47.95
P00371644,Shoes,2017,9165.45,9039.03,18204.48,145,143,288,50.35,49.65
P00271142,Health & Beauty,2017,9583.65,8594.37,18178.02,155,139,294,52.72,47.28
P00182142,Grocery,2017,8513.75,9555.00,18068.75,139,156,295,47.12,52.88
P00084842,Toys,2017,8911.70,8973.16,17884.86,145,146,291,49.83,50.17
P00258742,Health & Beauty,2017,9002.52,8649.48,17652.00,153,147,300,51.00,49.00
P00250242,Health & Beauty,2017,10426.85,6996.08,17422.93,155,104,259,59.85,40.15
