Store_ID,Store_Name,Year,Quarter,Quarter_Label,Quarterly_Sales,Quarterly_Quantity,Total_Transactions,Unique_Customers,Avg_Transaction_Value
1,Electro Mart,2015,1,Q1-2015,253146.39,6374,3178,1981,79.655881
1,Electro Mart,2015,2,Q2-2015,252884.22,6363,3187,1964,79.348673
1,Electro Mart,2015,3,Q3-2015,260747.01,6376,3169,1993,82.280533
1,Electro Mart,2015,4,Q4-2015,265966.55,6438,3229,2018,82.368086
1,Electro Mart,2016,1,Q1-2016,257007.60,6387,3224,1997,79.716998
1,Electro Mart,2016,2,Q2-2016,256755.96,6355,3180,1969,80.740868
1,Electro Mart,2016,3,Q3-2016,264720.63,6403,3235,2009,81.830179
1,Electro Mart,2016,4,Q4-2016,258873.43,6372,3177,1946,81.483610
1,Electro Mart,2017,1,Q1-2017,266109.81,6592,3248,1992,81.930360
1,Electro Mart,2017,2,Q2-2017,252927.52,6221,3125,1949,80.936806
1,Electro Mart,2017,3,Q3-2017,251342.94,6105,3116,1984,80.662047
1,Electro Mart,2017,4,Q4-2017,266426.90,6470,3233,2038,82.408568
1,Electro Mart,2018,1,Q1-2018,247195.48,6197,3097,1959,79.817720
1,Electro Mart,2018,2,Q2-2018,261859.60,6344,3147,1990,83.209279
1,Electro Mart,2018,3,Q3-2018,262043.38,6392,3194,1989,82.042386
1,Electro Mart,2018,4,Q4-2018,258938.53,6464,3267,2013,79.258809
1,Electro Mart,2019,1,Q1-2019,252454.63,6250,3139,1981,80.425177
1,Electro Mart,2019,2,Q2-2019,258487.83,6446,3216,2017,80.375569
1,Electro Mart,2019,3,Q3-2019,267503.27,6547,3273,2037,81.730299
1,Electro Mart,2019,4,Q4-2019,256701.52,6325,3186,1991,80.571726
1,Electro Mart,2020,1,Q1-2020,252604.10,6241,3124,1933,80.859187
1,Electro Mart,2020,2,Q2-2020,243518.69,6083,3077,1897,79.141596
1,Electro Mart,2020,3,Q3-2020,253835.79,6222,3114,1991,81.514383
1,Electro Mart,2020,4,Q4-2020,265398.32,6445,3182,1956,83.406135
4,Game Zone,2015,1,Q1-2015,377281.09,9217,4609,2523,81.857472
4,Game Zone,2015,2,Q2-2015,388131.02,9394,4658,2522,83.325681
4,Game Zone,2015,3,Q3-2015,382449.75,9299,4638,2543,82.460058
4,Game Zone,2015,4,Q4-2015,367393.85,9018,4503,2458,81.588685
4,Game Zone,2016,1,Q1-2016,381996.87,9277,4634,2490,82.433507
4,Game Zone,2016,2,Q2-2016,377985.59,9112,4532,2496,83.403705
4,Game Zone,2016,3,Q3-2016,370874.20,9126,4524,2464,81.979266
4,Game Zone,2016,4,Q4-2016,377002.33,9142,4547,2429,82.912322
4,Game Zone,2017,1,Q1-2017,369516.30,9043,4513,2517,81.878196
4,Game Zone,2017,2,Q2-2017,374116.40,9042,4587,2504,81.560148
4,Game Zone,2017,3,Q3-2017,376589.49,9263,4619,2498,81.530524
4,Game Zone,2017,4,Q4-2017,395890.37,9560,4766,2523,83.065541
4,Game Zone,2018,1,Q1-2018,373223.63,8984,4530,2459,82.389322
4,Game Zone,2018,2,Q2-2018,370680.31,9102,4535,2492,81.737665
4,Game Zone,2018,3,Q3-2018,378956.83,9144,4617,2500,82.078586
4,Game Zone,2018,4,Q4-2018,371487.55,9004,4523,2484,82.132998
4,Game Zone,2019,1,Q1-2019,353751.94,8763,4392,2434,80.544613
4,Game Zone,2019,2,Q2-2019,365614.44,8937,4465,2473,81.884533
4,Game Zone,2019,3,Q3-2019,385984.41,9309,4670,2490,82.651908
4,Game Zone,2019,4,Q4-2019,385075.02,9226,4592,2449,83.857801
4,Game Zone,2020,1,Q1-2020,374328.33,9121,4555,2483,82.179655
4,Game Zone,2020,2,Q2-2020,366441.76,9007,4484,2445,81.722070
4,Game Zone,2020,3,Q3-2020,379569.47,9163,4601,2476,82.497168
4,Game Zone,2020,4,Q4-2020,379609.11,9262,4599,2478,82.541663
7,Health Zone,2015,1,Q1-2015,116184.83,2896,1436,1131,80.908656
7,Health Zone,2015,2,Q2-2015,113388.23,2835,1419,1139,79.907139
7,Health Zone,2015,3,Q3-2015,121396.40,2967,1474,1149,82.358480
7,Health Zone,2015,4,Q4-2015,111383.89,2783,1398,1099,79.673741
7,Health Zone,2016,1,Q1-2016,114825.70,2838,1396,1117,82.253367
7,Health Zone,2016,2,Q2-2016,119726.77,3025,1505,1190,79.552671
7,Health Zone,2016,3,Q3-2016,112103.93,2834,1417,1132,79.113571
7,Health Zone,2016,4,Q4-2016,114210.51,2861,1435,1129,79.589206
7,Health Zone,2017,1,Q1-2017,117430.18,2937,1475,1165,79.613681
7,Health Zone,2017,2,Q2-2017,117741.63,2886,1450,1161,81.201124
7,Health Zone,2017,3,Q3-2017,117072.38,2818,1391,1115,84.164184
7,Health Zone,2017,4,Q4-2017,119124.34,2909,1486,1175,80.164428
7,Health Zone,2018,1,Q1-2018,114198.87,2783,1406,1136,81.222525
7,Health Zone,2018,2,Q2-2018,117184.95,2887,1438,1119,81.491620
7,Health Zone,2018,3,Q3-2018,106950.25,2670,1344,1075,79.576079
7,Health Zone,2018,4,Q4-2018,120543.17,2979,1488,1175,81.010195
7,Health Zone,2019,1,Q1-2019,121780.39,2968,1496,1187,81.404004
7,Health Zone,2019,2,Q2-2019,119545.26,2918,1473,1135,81.157678
7,Health Zone,2019,3,Q3-2019,123015.92,2995,1463,1145,84.084703
7,Health Zone,2019,4,Q4-2019,122290.33,2946,1469,1172,83.247332
7,Health Zone,2020,1,Q1-2020,111754.55,2736,1378,1087,81.099093
7,Health Zone,2020,2,Q2-2020,117769.43,2942,1476,1185,79.789587
7,Health Zone,2020,3,Q3-2020,119056.96,2854,1422,1114,83.725007
7,Health Zone,2020,4,Q4-2020,112307.82,2780,1416,1114,79.313432
5,InnoTech,2015,1,Q1-2015,248933.62,6127,3057,1985,81.430690
5,InnoTech,2015,2,Q2-2015,250900.79,6304,3145,1994,79.777676
5,InnoTech,2015,3,Q3-2015,264403.24,6526,3261,2110,81.080417
5,InnoTech,2015,4,Q4-2015,254850.96,6462,3235,2083,78.779277
5,InnoTech,2016,1,Q1-2016,262180.25,6443,3215,2048,81.549067
5,InnoTech,2016,2,Q2-2016,255273.47,6233,3112,2012,82.028750
5,InnoTech,2016,3,Q3-2016,261638.88,6479,3197,2095,81.838874
5,InnoTech,2016,4,Q4-2016,260862.16,6568,3264,2059,79.921005
5,InnoTech,2017,1,Q1-2017,246292.59,6108,3090,2023,79.706340
5,InnoTech,2017,2,Q2-2017,250089.39,6150,3090,2036,80.935078
5,InnoTech,2017,3,Q3-2017,247719.50,6170,3096,1961,80.012758
5,InnoTech,2017,4,Q4-2017,252261.35,6302,3143,2037,80.261327
5,InnoTech,2018,1,Q1-2018,250702.94,6244,3127,2008,80.173630
5,InnoTech,2018,2,Q2-2018,253999.10,6211,3104,2038,81.829607
5,InnoTech,2018,3,Q3-2018,253949.75,6294,3147,2032,80.695821
5,InnoTech,2018,4,Q4-2018,245004.49,6105,3068,1998,79.858048
5,InnoTech,2019,1,Q1-2019,248056.58,6152,3071,1949,80.773878
5,InnoTech,2019,2,Q2-2019,247281.69,6214,3088,1986,80.078267
5,InnoTech,2019,3,Q3-2019,250678.38,6266,3149,2027,79.605710
5,InnoTech,2019,4,Q4-2019,245395.28,6204,3093,2007,79.338920
5,InnoTech,2020,1,Q1-2020,247870.76,6174,3073,1975,80.660840
5,InnoTech,2020,2,Q2-2020,253363.97,6279,3113,2002,81.389004
5,InnoTech,2020,3,Q3-2020,246969.60,6223,3114,1970,79.309441
5,InnoTech,2020,4,Q4-2020,256298.19,6412,3184,2027,80.495663
51,Pakistan,2015,1,Q1-2015,20766.43,613,324,309,64.093920
51,Pakistan,2015,2,Q2-2015,21957.96,614,311,296,70.604373
51,Pakistan,2015,3,Q3-2015,23490.75,665,337,322,69.705490
51,Pakistan,2015,4,Q4-2015,26972.60,738,357,347,75.553501
51,Pakistan,2016,1,Q1-2016,24178.27,661,337,323,71.745608
51,Pakistan,2016,2,Q2-2016,24756.64,681,349,323,70.935931
51,Pakistan,2016,3,Q3-2016,22530.43,636,316,293,71.298829
51,Pakistan,2016,4,Q4-2016,22852.96,675,340,325,67.214588
51,Pakistan,2017,1,Q1-2017,22863.75,637,322,297,71.005435
51,Pakistan,2017,2,Q2-2017,23821.89,660,320,299,74.443406
51,Pakistan,2017,3,Q3-2017,25009.20,750,372,348,67.229032
51,Pakistan,2017,4,Q4-2017,24636.72,745,377,349,65.349390
51,Pakistan,2018,1,Q1-2018,20810.57,591,309,287,67.348123
51,Pakistan,2018,2,Q2-2018,24999.70,715,357,340,70.027171
51,Pakistan,2018,3,Q3-2018,21127.61,617,304,286,69.498717
51,Pakistan,2018,4,Q4-2018,23624.95,676,343,319,68.877405
51,Pakistan,2019,1,Q1-2019,24318.93,689,345,329,70.489652
51,Pakistan,2019,2,Q2-2019,26072.36,747,379,356,68.792507
51,Pakistan,2019,3,Q3-2019,24931.10,702,358,331,69.639944
51,Pakistan,2019,4,Q4-2019,22756.20,664,320,294,71.113125
51,Pakistan,2020,1,Q1-2020,23029.47,676,341,315,67.535103
51,Pakistan,2020,2,Q2-2020,23246.22,655,328,312,70.872622
51,Pakistan,2020,3,Q3-2020,23437.60,692,348,326,67.349425
51,Pakistan,2020,4,Q4-2020,22233.48,624,317,300,70.137161
6,Photo World,2015,1,Q1-2015,174627.17,4551,2251,1564,77.577597
6,Photo World,2015,2,Q2-2015,164764.40,4374,2213,1541,74.452960
6,Photo World,2015,3,Q3-2015,184480.80,4683,2314,1624,79.723768
